time,open,high,low,close,LOC,EMA,EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side)
1767168000,89000,89165,88740,88805,89000,,1,1,1,0,0,0,0
1767171600,88800,89155,88795,89070,89000,,1,1,1,0,0,0,0
1767175200,89065,89365,89065,89295,89065,88960.38489800961,1,1,1,0,0,0,0
1767178800,89345,89525,89245,89490,89065,,1,1,1,0,0,0,0
1767182400,89465,89545,89210,89235,89370,,1,1,1,0,0,0,0
1767186000,89245,89540,89155,89455,89375,,1,-1,0,0,0,0,0
1767189600,89480,89705,88645,88865,89380,88928.5899320064,-1,1,0,0,0,0,0
1767193200,88870,88920,88055,88225,88920,,-1,-1,-1,0,0,0,0
1767196800,88230,88330,87450,87890,88430,,-1,-1,-1,0,0,0,0
1767200400,87895,88010,87705,87845,88430,,-1,-1,-1,0,0,0,0
1767204000,87850,88275,87790,87920,88430,88592.39328800427,-1,-1,-1,0,0,0,0
1767207600,87945,88145,87745,87765,88430,,-1,-1,-1,0,0,0,0
1767211200,87765,87960,87475,87885,87780,,-1,-1,-1,0,0,0,0
1767214800,87905,88160,87875,88085,87875,88423.26219200285,-1,1,0,0,0,0,0
1767308400,88710,89350,88700,89255,88700,,1,1,1,0,0,0,0
1767312000,89265,89335,88950,89270,89110,,1,1,1,0,0,0,0
1767315600,89275,89305,88915,89085,89110,,1,1,1,0,0,0,0
1767319200,89090,89115,88780,89055,89110,88633.84146133524,1,1,1,0,0,0,0
1767322800,89080,89640,88980,89435,89110,,1,1,1,0,0,0,0
1767326400,89450,89490,89080,89115,89320,,1,1,1,0,0,0,0
1767330000,89130,89245,88980,89205,89320,,1,1,1,0,0,0,0
1767333600,89190,89575,89155,89425,89320,88897.5609742235,1,1,1,0,0,0,0
1767337200,89460,89550,89325,89340,89370,,1,1,1,0,0,0,0
1767340800,89380,89745,89295,89720,89370,,1,1,1,0,0,0,0
1767344400,89725,90050,89635,90010,89515,,1,1,1,0,0,0,0
1767348000,90055,90555,90000,90310,90000,89368.37398281567,1,1,1,0,0,0,0
1767351600,90335,90335,89995,90125,90205,,1,1,1,0,0,0,0
1767355200,90130,90230,89910,89950,90205,,1,1,1,0,0,0,0
1767358800,89930,90220,89745,89800,90205,,1,1,1,0,0,0,0
1767362400,89800,90635,88830,90055,89865,89597.24932187711,1,-1,0,0,0,0,0
1767366000,90060,90415,89170,89865,89865,,1,-1,0,0,0,0,0
1767369600,89860,91360,89550,90915,89865,,1,-1,0,0,0,0,0
1767373200,90900,91580,90680,90880,90900,,1,1,1,0,0,0,0
1767376800,90885,91100,89970,90190,90900,89794.83288125141,1,1,1,0,0,0,0
1767380400,90200,90630,90080,90340,90630,,1,-1,0,0,0,0,0
1767384000,90350,90575,90020,90220,90630,,1,-1,0,0,0,0,0
1767387600,90200,90625,90160,90575,90630,90054.88858750094,1,-1,0,0,0,0,0
1767567600,91605,92150,91605,92035,91605,,1,1,1,0,0,0,0
1767571200,92060,92990,92040,92950,91785,,1,1,1,0,0,0,0
1767574800,92950,93970,92815,93580,92815,,1,1,1,0,0,0,0
1767578400,93620,93765,93270,93570,93360,91226.59239166729,1,1,1,0,0,0,0
1767582000,93590,93740,93385,93385,93360,,1,1,1,0,0,0,0
1767585600,93395,93495,92820,93090,93360,,1,1,1,0,0,0,0
1767589200,93080,93235,92795,92805,93155,,1,-1,0,0,0,0,0
1767592800,92805,92965,92595,92925,92965,91792.72826111152,1,-1,0,0,0,0,0
1767596400,92920,93120,92920,92965,92965,,1,-1,0,0,0,0,0
1767600000,92945,93230,92875,92935,92965,,1,-1,0,0,0,0,0
1767603600,92920,93345,92765,93205,92965,,1,-1,0,0,0,0,0
1767607200,93200,93675,93175,93595,93175,92393.48550740768,1,1,1,0,0,0,0
1767610800,93590,93700,93400,93625,93175,,1,1,1,0,0,0,0
1767614400,93640,93715,93185,93295,93175,,1,1,1,0,0,0,0
1767618000,93295,93520,92980,93195,93175,,1,1,1,0,0,0,0
1767621600,93175,94165,92790,93920,93175,92902.32367160512,1,1,1,0,0,0,0
1767625200,93895,94550,93595,94470,93595,,1,1,1,0,0,0,0
